Classification,Case Number,Date,Time,Occurred Earliest,Time_Cleaned,Occurred Latest,General Location,Disposition
Harassment,23-950-OF,5/5/23,17:38,5/4/23 15:13,4/5/2023 15:13,5/4/23 15:13,Bogle Hall,Open Investigation
Criminal Mischief,23-956-OF ,5/5/23,21:52,5/4/23 0:00,4/5/2023 0:00,5/5/23 21:52,Kwanza Marion Jones Hall,Open Investigation
Disorderly Conduct,23-959-OF,5/6/23,11:45,5/5/23 11:28,5/5/2023 11:28,5/6/23 11:02,Wawa,Open Investigation
Criminal Mischief,23-971-OF,5/8/23,7:51,5/5/23 15:30,5/5/2023 15:30,5/8/23 7:20,Henry Hall,Open Investigation
Harassment,23-974-OF,5/9/23,2:33,5/7/23 18:00,7/5/2023 18:00,5/7/23 19:00,Frist Campus Center,Open Investigation
Harassment,23-977-OF,5/9/23,12:13,5/2/23 13:08,2/5/2023 13:08,5/9/23 0:00,701 Carnegie Center,Open Investigation
Harassment: Bias Incident,23-978-OF,5/9/23,13:04,5/9/23 15:38,9/5/2023 15:38,5/9/23 9:00,Frist Campus Center,Open Investigation
Defiant Trespass: Aggravated Assault,23-22-AR,5/10/23,9:35,5/10/23 9:35,10/5/2023 9:35,5/10/23 9:35,Wawa,Arrest
Criminal Mischief,23-1019-OF,05/15/2023,7:49,5/12/23 15:00,12/5/2023 15:00,05/15/2023 07:00,Eno Hall,Open Investigation
Defiant Trespass,23-1018-OF,05/15/2023,7:49,05/15/2023 07:49,05/15/2023 07:49,05/15/2023 07:49,Frist Campus Center,Open Investigation
Criminal Mischief,23-1025-OF,05/16/2023,10:25,05/16/2023 10:15,05/16/2023 10:15,05/16/2023 11:17,Fine Hall,Open Investigation
Criminal Mischief,23-1039-OF,05/18/2023,9:14,5/17/2023 17:00,5/17/2023 17:00,05/18/2023 07:00,East Pyne Hall,Open Investigation
Trespassing,23-1047-OF,05/19/2023,20:56,05/19/2023 20:56,05/19/2023 20:56,05/19/2023 20:57,Lewis Library,Open Investigation
Criminal Mischief,23-1058-OF,05/22/2023,3:11,05/22/2023 03:11,05/22/2023 03:11,05/22/2023 03:11,Wright Hall,Open Investigation
Criminal Mischief,23-1059-OF,05/22/2023,9:59,05/18/2023 10:00,05/18/2023 10:00,05/22/2023 04:30,Woolworth Music Center,Open Investigation
