Classification,Case Number,Date,Time,Occurred Earliest,Time_Cleaned,Occurred Latest,General Location,Disposition
Theft,22-1858-OF,10/28/2022,7:07,10/18/2022 15:00,10/18/2022 15:00,10/19/2022 04:50,Guyot Hall,Unfounded
Fraud,22-1859-OF,10/28/2022,12:13,10/12/22 15:30,12/10/2022 15:30,10/28/2022 12:13,Class of 1903 Hall,Open Investigation
Harassment,22-1860-OF,10/28/2022,11:29,10/27/2022 14:40,10/27/2022 14:40,10/27/2022 14:40,Parking Lot 23,Open Investigation
Theft,22-1862-OF,10/28/2022,16:06,10/28/2022 12:00,10/28/2022 12:00,10/28/2022 13:30,Jadwin Hall,Unfounded
Criminal Mischief,22-1876-OF,10/29/2022,7:29,10/28/2022 13:00,10/28/2022 13:00,10/29/2022 06:30,Pyne Hall,Open Investigation
Criminal Mischief,22-1877-OF,10/29/2022,11:26,10/28/2022 15:30,10/28/2022 15:30,10/29/2022 11:25,Forbes Annex,Open Investigation
Theft,22-1883-OF,10/29/2022,16:28,10/29/2022 13:00,10/29/2022 13:00,10/29/2022 16:00,Princeton Stadium,Open Investigation
Criminal Mischief,22-1920-OF,10/31/2022,16:07,10/26/2022 19:10,10/26/2022 19:10,10/26/2022 20:37,Fine Hall,Open Investigation
Assault,22-1926-OF,10/31/2022,22:49,10/31/2022 21:30,10/31/2022 21:30,10/31/2022 21:30,Frist Campus Center,Open Investigation
Shoplifting,22-1928-OF,11/1/22,9:34,11/1/22 9:16,1/11/2022 9:16,11/1/22 9:30,University Store,Open Investigation
Fraud,22-1929-OF,11/1/22,16:21,10/31/2022 21:08,10/31/2022 21:08,10/31/2022 23:00,Thomas Laboratory,Open Investigation
Attempted Fraud,22-1940-OF,11/2/22,16:07,10/31/2022 21:07,10/31/2022 21:07,10/31/2022 21:07,McCosh Infirmary,Open Investigation
Theft,22-1943-OF,11/2/22,17:50,11/2/22 12:00,2/11/2022 12:00,11/2/22 17:00,Buyers Hall,Open Investigation
Theft,22-1946-OF,11/3/22,9:29,11/2/22 21:00,2/11/2022 21:00,11/2/22 22:30,Bloomberg Hall,Open Investigation
Theft,22-1948-OF,11/3/22,12:26,10/28/2022 08:30,10/28/2022 08:30,10/31/2022 17:00,McCosh Infirmary,Open Investigation
Theft,22-1951-OF,11/4/22,0:29,11/3/22 0:01,3/11/2022 0:01,11/3/22 7:00,Henry Hall ,Open Investigation
Theft: Criminal Mischief,22-1962-OF,11/5/22,9:41,11/2/22 20:30,2/11/2022 20:30,11/5/22 9:15,Lawrence Apartments,Open Investigation
Attempted Extortion,22-1967-OF,11/5/22,16:34,11/5/22 11:30,5/11/2022 11:30,11/5/22 11:30,Elm Drive,Open Investigation
Criminal Mischief,22-1972-OF,11/5/22,21:46,11/5/22 21:46,5/11/2022 21:46,11/5/22 21:46,Brown Hall,Open Investigation
Theft,22-1981-OF,11/7/22,13:18,11/4/22 15:00,4/11/2022 15:00,11/6/22 20:00,Little Hall,Open Investigation
Theft,22-1982-OF,11/7/22,13:20,11/1/22 19:00,1/11/2022 19:00,11/7/22 13:20,Firestone Library,Open Investigation
Theft: Criminal Mischief,22-1985-OF,11/7/22,18:03,10/30/2022 01:00,10/30/2022 01:00,11/5/22 13:00,Lawrence Apartments,Open Investigation
Criminal Mischief,22-1991-OF,11/8/22,5:56,11/8/22 5:56,8/11/2022 5:56,11/8/22 5:56,Architecture Building,Open Investigation
Trespassing,22-1992-OF,11/8/22,9:51,11/8/22 9:30,8/11/2022 9:30,11/8/22 9:30,Henry Hall,Open Investigation
Theft,22-2000-OF,11/9/22,14:31,11/6/22 12:15,6/11/2022 12:15,11/6/22 14:30,Shea Rowing Center,Open Investigation
Harassment,22-2003-OF,11/10/22,2:40,11/10/22 2:35,10/11/2022 2:35,11/10/22 2:53,Walker Hall,Open Investigation
Criminal Mischief,22-2004-OF,11/10/22,8:57,11/10/22 0:22,10/11/2022 0:22,11/10/22 8:52,Wawa ,Open Investigation
Criminal Mischief,22-2005-OF,11/10/22,9:10,11/9/22 14:00,9/11/2022 14:00,11/10/22 10:30,Fu Hall ,Open Investigation
Criminal Mischief,22-2017-OF,11/11/22,2:15,11/11/22 2:15,11/11/2022 2:15,11/11/22 2:15,Scudders Plaza,Open Investigation
Shoplifting,22-51-AR,11/11/22,8:48,11/11/22 10:02,11/11/2022 10:02,11/11/22 10:02,University Store ,Arrest
Harassment,22-2021-OF,11/11/22,14:10,11/2/22 12:00,2/11/2022 12:00,11/2/22 12:10,Center for Jewish Life,Open Investigation
Theft: Criminal Mischief,22-2032-OF,11/12/22,11:25,11/11/22 20:51,11/11/2022 20:51,11/12/22 7:40,Holder Hall,Open Investigation
Theft,22-2036-OF,11/13/2022,21:37,11/12/22 21:40,12/11/2022 21:40,11/13/2022 00:10,Old Graduate College,Open Investigation
Harassment,22-2043-OF,11/14/2022,18:41,11/14/2022 18:30,11/14/2022 18:30,11/14/2022 19:30,Yeh College Open ,Open Investigation
Harassment,22-2047-OF,11/15/2022,9:41,02/20/2020 11:30,02/20/2020 11:30,11/15/2022 08:43,Neuro Psychology Building,Open Investigation
Shoplifting,22-2048-OF,11/15/2022,10:55,11/1/22 20:52,1/11/2022 20:52,11/12/22 17:55,University Store Open In,Open Investigation
Shoplifting,22-2049-OF,11/15/2022,10:36,11/14/2022 09:17,11/14/2022 09:17,11/14/2022 09:17,University Store Open In,Open Investigation
Stalking,22-2059-OF,11/16/2022,15:18,9/8/22 0:01,9/8/2022 0:01,11/2/22 23:59,Main Campus ,Closed
Harassment,22-2061-OF,11/16/2022,22:11,11/16/2022 19:45,11/16/2022 19:45,11/16/2022 19:46,Center for Jewish Life,Open Investigation
Harassment,22-2066-OF,11/17/2022,10:51,2/2/22 8:00,2/2/2022 8:00,10/23/2022 08:00,West Windsor Fields,Open Investigation
Theft,22-2068-OF,11/17/2022,20:31,11/17/2022 12:41,11/17/2022 12:41,11/17/2022 18:55,New Grad College ,Open Investigation
Theft: Bias Incident,22-2074-OF,11/18/2022,11:10,11/17/2022 12:50,11/17/2022 12:50,11/17/2022 23:57,Pyne Hall,Open Investigation
Rape,22-2076-OF,11/18/2022,14:24,10/28/2022 00:01,10/28/2022 00:01,10/28/2022 23:59,Main Campus ,Closed
Theft,22-2077-OF,11/18/2022,16:10,11/17/2022 14:02,11/17/2022 14:02,11/17/2022 17:00,Lawrence Apartments,Open Investigation
Fraud,22-2097-OF,11/20/2022,0:28,11/19/2022 23:19,11/19/2022 23:19,11/19/2022 23:19,Henry Hall,Open Investigation
False Public Alarm,22-2093-OF,11/19/2022,22:45,11/19/2022 22:45,11/19/2022 22:45,11/19/2022 22:45,Blair Hall,Open Investigation
Theft,22-2109-OF,11/21/2022,1:15,11/21/2022 00:35,11/21/2022 00:35,11/21/2022 01:15,Wawa ,Open Investigation
Theft,22-2113-OF,11/21/2022,11:01,11/18/2022 16:00,11/18/2022 16:00,11/21/2022 07:00,Parking Lot 20,Open Investigation
Trespassing,22-2120-OF,11/22/2022,1:23,11/22/2022 01:23,11/22/2022 01:23,11/22/2022 01:23,Frist Campus Center,Open Investigation
Criminal Mischief,22-2127-OF,11/22/2022,9:50,11/21/2022 8:00,11/21/2022 8:00,11/22/2022 8:00,New College West,Open Investigation
Lewdness,22-59-AR,11/22/2022,10:10,11/22/2022 10:10,11/22/2022 10:10,11/22/2022 10:10,Firestone Plaza,Arrest
Theft,22-2132-OF,11/23/2022,18:09,11/23/2022 16:00,11/23/2022 16:00,11/23/2022 17:30,Lakeside Apartments Ope,Open Investigation
Theft,22-2150-OF,11/28/2022,17:12,11/16/2022 08:18,11/16/2022 08:18,11/28/2022 16:30,Frist Campus Center Ope,Open Investigation
Theft,22-2174-OF,12/2/22,11:42,12/1/22 6:42,12/1/2022 6:42,12/1/22 19:30,Lakeside Apartments Unf,unfounded
Theft,22-2182-OF,12/2/22,21:42,11/20/2022 01:00,11/20/2022 01:00,11/30/2022 23:59,Cuyler Hall,Open Investigation
Theft,22-2192-OF,12/3/22,12:10,6/1/22 0:00,1/6/2022 0:00,12/2/22 14:00,Whitman College Complex,Open Investigation
Theft,22-2230-OF,12/8/22,20:48,12/8/22 10:00,8/12/2022 10:00,12/8/22 13:15,Frist Campus Center ,Open Investigation
Theft,22-2298-OF,12/17/2022,12:38,12/16/2022 21:00,12/16/2022 21:00,12/17/2022 12:00,1903 Hall ,Open Investigation
Theft,22-2300-OF,12/17/2022,17:37,12/16/2022 14:30,12/16/2022 14:30,12/17/2022 17:35,Bloomberg Hall ,Open Investigation
Trespassing,22-66-AR,12/4/22,1:41,12/4/22 1:41,4/12/2022 1:41,12/4/22 1:41,Brown Hall,Arrest
Trespassing,22-65-AR,12/1/22,10:22,12/1/22 10:22,1/12/2022 10:22,12/1/22 10:22,University Store, Arrest
Shoplifting,22-2145-OF,11/28/2022,9:08,11/28/2022 09:08,11/28/2022 09:08,11/28/2022 09:48,36 University Place,Open Investigation
Trespassing,22-69-AR,12/20/2022,13:54,12/20/2022 13:54,12/20/2022 13:54,12/20/2022 13:54,University Store,Arrest
Extortion,22-2188-OF,12/3/22,1:50,12/3/22 1:30,3/12/2022 1:30,12/3/22 1:50,Henry Hall,Open Investigation
Trespass,22-2305-OF,12/17/2022,22:21,12/17/2022 22:21,12/17/2022 22:21,12/17/2022 22:21,Fine Hall,Closed
Trespassing,22-2229-OF,12/8/22,19:37,12/8/22 19:37,8/12/2022 19:37,12/8/22 19:37,Mendel Library - Woolworth,Closed
Harassment,22-2286-OF,12/15/2022,9:34,12/14/2022 20:00,12/14/2022 20:00,12/15/22 08:00 ,Lakeside Housing ,Open Investigation
Theft,22-2319-OF,12/20/2022,17:17,12/20/2022 08:55,12/20/2022 08:55,12/20/2022 17:15,Theater Drive Garage,Open Investigation
Harassment,22-2157-OF,11/29/2022,22:43,11/27/2022 13:37,11/27/2022 13:37,11/21/2022 13:42,Lakeside Apartments,Open Investigation
Harassment,22-2214-OF,12/5/22,23:52,12/5/22 20:48,5/12/2022 20:48,12/5/22 20:48,Class of 1976 Hall,Open Investigation
Criminal Mischief,22-2215-OF,12/2/22,21:42,11/19/2022 23:00,11/19/2022 23:00,11/20/2022 01:00,Frist Campus Center,Open Investigation
Criminal Mischief,22-2148-OF,11/28/2022,12:23,10/4/22 15:00,4/10/2022 15:00,11/27/2022 13:30,Princeton Stadium,Open Investigation
Criminal Mischief,22-2197-OF,12/4/22,7:08,12/3/22 13:30,3/12/2022 13:30,12/4/22 7:00,Bogle Hall,Open Investigation
Criminal Mischief,22-2259-OF,12/11/22,0:44,12/11/22 0:44,11/12/2022 0:44,12/11/22 1:12,Pyne Hall,Open Investigation
Criminal Mischief,22-2275-OF,12/12/22,13:00,12/9/22 15:30,9/12/2022 15:30,12/12/22 8:00,New College West ,Open Investigation
Criminal Mischief,22-2278-OF,12/13/2022,12:37,12/12/22 12:00,12/12/2022 12:00,12/13/2022 12:37,McCosh Hall ,Open Investigation
Harassment,22-2328-OF,12/21/2022,11:57,11/12/22 0:01,12/11/2022 0:01,11/12/22 23:59,60 Woodlands Way,Open Investigation
False Public Alarm,22-2205-OF,12/4/22,23:39,12/4/22 23:39,4/12/2022 23:39,12/4/22 23:39,Lauritzen Hall ,Open Investigation
False Public Alarm,22-2266-OF,12/11/22,9:21,12/11/22 9:21,11/12/2022 9:21,12/11/22 9:22,Frist Campus Center,Closed
False Public Alarm,22-2276-OF,12/12/22,19:33,12/12/22 19:33,12/12/2022 19:33,12/12/22 19:33,Peyton Hall ,Closed
Trespassing,22-2335-OF,12/23/2022,5:55,12/22/2022 12:45,12/22/2022 12:45,12/23/2022 05:55,Frist Campus Center,Closed
Harassment,22-2336-OF,12/23/2022,8:29,12/23/2022 08:00,12/23/2022 08:00,12/23/2022 08:15,Parking Lot 19,Open Investigation
Shoplifting,22-67-AR (22-2235-OF),12/9/22,2:01,12/9/22 1:30,9/12/2022 1:30,12/9/22 1:50,1967 Hall,Judicial Referral
Trespassing,22-71-AR,12/23/2022,20:04,12/23/2022 20:04,12/23/2022 20:04,12/23/2022 20:04,Yeh College,Arrest
Trespassing,22-72-AR,12/25/2022,5:05,12/25/2022 05:05,12/25/2022 05:05,12/25/2022 05:05,Grousbeck Hall,Arrest
Theft,22-2309-OF,12/19/2022,15:53,12/18/2022 10:40,12/18/2022 10:40,12/18/2022 11:00,Lawrence Apartments,Open Investigation
Theft,22-70-AR (22-2313-OF),12/19/2022,22:04,12/19/2022 22:04,12/19/2022 22:04,12/19/2022 22:04,Frist Campus Center,Arrest
Theft,22-2367-OF,12/30/2022,16:07,11/29/2022 17:20,11/29/2022 17:20,11/30/2022 13:00,Old Graduate College,Open Investigation
Theft,23-2-OF,1/2/23,13:42,11/18/2022 17:00,11/18/2022 17:00,1/2/23 14:15,Hariri Hall,Open Investigation
Burglary,23-4-OF,1/3/23,9:29,12/22/2022 15:00,12/22/2022 15:00,1/3/23 9:30,East Pyne Hall,Open Investigation
Trespassing,23-16-OF,1/5/23,14:21,12/23/2022 14:00,12/23/2022 14:00,1/5/23 14:15,Dodge Hall,Open Investigation
Criminal Mischief,23-28-OF,1/10/23,10:47,1/7/23 16:00,7/1/2023 16:00,1/10/23 10:58,Princeton Stadium,Open Investigation
Harassment: Domestic Violence,23-35-OF,1/11/23,15:30,08/22/2021 01:00,08/22/2021 01:00,1/5/23 0:00,East Pyne Hall,Open Investigation
Harassment,23-43-OF,01/15/2023,14:08,12/31/2022 9:00,12/31/2022 9:00,1/11/23 9:00,Lawrence Apartments,Open Investigation
Harassment,23-51-OF,01/18/2023,8:15,01/16/2022 01:24,01/16/2022 01:24,01/18/2023 07:14,Pyne Drive,Open Investigation
Burglary,23-3-AR (23-52-OF),01/18/2023,12:55,01/18/2023 08:45,01/18/2023 08:45,01/18/2023 12:45,Edwards Place,Arrest
Theft,23-54-OF,01/18/2023,19:30,01/18/2023 18:00,01/18/2023 18:00,01/18/2023 19:39,Louis A. Simpson International Building,Open Investigation
Shoplifting ,23-56-OF,01/19/2023,14:08,10/6/22 13:39,6/10/2022 13:39,12/7/22 9:36,University Store,Judicial Referral
Shoplifting,23-57-OF,01/19/2023,15:23,11/3/22 14:33,3/11/2022 14:33,12/10/22 15:45,University Store,Judicial Referral
Shoplifting,23-58-OF,01/19/2023,15:24,11/7/22 0:00,7/11/2022 0:00,12/19/2022 14:30,University Store,Judicial Referral
Harassment,23-60-OF,01/20/2023,13:45,01/13/2023 08:20,01/13/2023 08:20,01/20/2023 08:25,Firestone Library,Open Investigation
Theft,23-66-OF,01/22/2023,14:09,1/12/23 9:00,12/1/2023 9:00,01/20/2023 18:00,Lakeside Parking Garage,Open Investigation
Fraud,23-71-OF,01/23/2023,19:58,01/23/2023 16:00,01/23/2023 16:00,01/23/2023 16:00,Pyne Hall,Open Investigation
Criminal Mischief,23-73-OF,01/24/2023,8:13,01/24/2023 04:47,01/24/2023 04:47,01/24/2023 08:13,Bloomberg Hall,Open Investigation
Shoplifting,23-2-AR (23-77-OF),01/25/2023,8:05,12/19/2022 06:20,12/19/2022 06:20,01/25/2023 06:16,University Store,Arrest
Theft,23-79-OF,01/25/2023,13:34,12/23/2022 17:30,12/23/2022 17:30,01/24/2023 10:00,Kwanza Marion Jones Hall,Open Investigation
Burglary,23-3-AR (23-80-OF),01/25/2023,13:00,12/21/2022 12:00,12/21/2022 12:00,01/24/2023 16:00,College Road Faculty Apartments,Arrest
Fraud,23-81-OF,01/25/2023,18:22,01/19/2023 07:00,01/19/2023 07:00,01/19/2023 07:00,Kwanza Marion Jones Hall,Open Investigation
Shoplifting,23-89-OF,01/27/2023,13:12,10/29/2022 21:35,10/29/2022 21:35,12/17/2022 00:09,University Store,Open Investigation
Shoplifting,23-90-OF,01/27/2023,13:12,12/6/22 10:43,6/12/2022 10:43,01/21/2023 12:47,University Store,Open Investigation
Harassment,23-91-OF,01/26/2023,21:21,01/27/2023 18:25,01/27/2023 18:25,01/27/2023 18:25,Morrison Hall,Open Investigation
Theft,23-97-OF,01/29/2023,11:46,01/29/2023 10:20,01/29/2023 10:20,01/29/2023 11:20,Engineering Quad C-Wing,Open Investigation
Criminal Mischief,23-98-OF,01/29/2023,10:19,12/17/2022 14:00,12/17/2022 14:00,01/28/2023 18:00,Buyers Hall,Open Investigation
Intimidation,23-100-OF,01/29/2023,15:27,01/29/2023 02:21,01/29/2023 02:21,01/29/2023 02:21,Morrison Hall,Open Investigation
Harassment,23-101-OF,01/29/2023,17:07,01/29/2023 17:25,01/29/2023 17:25,01/29/2023 17:25,University Place,Open Investigation
Theft,23-104-OF,01/29/2023,23:00,01/29/2023 16:15,01/29/2023 16:15,01/29/2023 23:00,Poe Field,Open Investigation
Trespassing,23-110-OF,01/30/2023,11:08,01/27/2023 11:30,01/27/2023 11:30,01/30/2023 11:00,Dean Mathey Apartment Complex,Open Investigation
Criminal Mischief,23-115-OF,01/30/2023,15:18,12/20/2022 09:00,12/20/2022 09:00,01/30/2023 15:00,20 Washington Road,Open Investigation
Theft,23-116-OF,01/30/2023,16:22,01/28/2023 11:00,01/28/2023 11:00,01/30/2023 15:30,New College West,Open Investigation
Burglary,23-3-AR (23-118-OF),01/30/2023,17:20,01/30/2023 07:30,01/30/2023 07:30,0 01/30/2023 17:20,Edwards Place,Arrest
Harassment,23-128-OF,2/1/23,12:42,2/1/23 12:10,1/2/2023 12:10,2/1/23 12:20,Wawa,Open Investigation
Lewdness,23-11-AR (23-132-OF),2/1/23,15:28,2/1/23 15:15,1/2/2023 15:15,2/1/23 15:15,Elm Drive,Arrest
Theft,23-134-OF,2/1/23,18:08,12/23/2022 12:00,12/23/2022 12:00,01/25/2023 12:00,Buyers Hall,Open Investigation
Theft,23-135-OF,2/1/23,22:02,01/30/2023 10:00,01/30/2023 10:00,01/30/2023 11:30,McCosh Hall,Open Investigation
Harassment,23-288-OF,2/2/23,16:00,03/16/2022 04:47,03/16/2022 04:47,01/28/2023 13:59,Green Hall,Open Investigation
Trespassing,23-148-OF,2/3/23,8:54,2/3/23 7:30,3/2/2023 7:30,2/3/23 9:52,78 Alexander Street,Open Investigation
Trespassing,23-149-OF,2/3/23,11:13,2/3/23 7:30,3/2/2023 7:30,2/3/23 9:52,76 Alexander Street,Open Investigation
Theft,23-154-OF,2/3/23,17:00,11/18/2022 10:04,11/18/2022 10:04,11/18/2022 10:40,Hibben Magie Road,Open Investigation
Theft,23-156-OF,2/3/23,17:00,11/26/202 00:00,11/26/202 00:00,01/25/2023 15:00,Hibben Magie Road,Open Investigation
Theft,23-157-OF,2/3/23,21:29,2/3/23 17:30,3/2/2023 17:30,2/3/23 21:00,Jadwin Gymnasium,Open Investigation
Harassment,23-150-OF,2/3/23,10:41,01/27/2023 18:15,01/27/2023 18:15,02/02/202318:25,Wawa,Open Investigation
Theft,23-170-OF,2/4/23,15:28,12/3/22 9:00,3/12/2022 9:00,01/29/2023 14:00,Class of 1901 Laughlin Hall,Open Investigation
Shoplifting,23-188-OF,2/6/23,10:02,11/27/2022 22:25,11/27/2022 22:25,2/4/23 17:43,University Store,Open Investigation
Shoplifting,23-5-AR (23-189-OF),2/6/23,10:02,10/25/2022 14:03,10/25/2022 14:03,01/25/2023 21:42,University Store,Arrest
Shoplifting,23-6-AR (23-199-OF),2/6/23,18:59,01/28/2022 17:59,01/28/2022 17:59,12/9/22 13:06,University Store,Open Investigation
Theft,23-213-OF,2/8/23,12:40,2/7/23 11:45,7/2/2023 11:45,2/7/23 12:45,Class of 1967 Hall,Open Investigation
Harassment: Bias Incident,23-220-OF,2/9/23,9:11,2/9/23 6:14,9/2/2023 6:14,2/9/23 6:14,McCosh Hall,Open Investigation
Trespassing,23-227-OF,2/9/23,23:12,2/9/23 22:50,9/2/2023 22:50,2/9/23 22:50,Baker Hall,Open Investigation
Criminal Mischief,23-231-OF,2/10/23,7:21,2/9/23 16:30,9/2/2023 16:30,2/10/23 7:00,Alexander Road,Open Investigation
Theft,23-233-OF,2/10/23,13:54,2/10/23 13:42,10/2/2023 13:42,2/10/23 13:46,Frist Campus Center,Open Investigation
Theft,23-234-OF,2/10/23,15:22,1/12/23 0:00,12/1/2023 0:00,2/10/23 10:00,Aliya Kanji Hall,Open Investigation
Trespassing,23-249-OF,2/11/23,16:44,2/11/23 16:44,11/2/2023 16:44,2/11/23 16:44,Wu Hall,Open Investigation
Trespassing,23-252-OF,2/11/23,22:17,2/11/23 22:17,11/2/2023 22:17,2/11/23 22:17,Lewis Center for the Arts,Open Investigation
Harassment,23-268-OF,02/13/2023,1:53,02/13/2023 01:53,02/13/2023 01:53,02/13/2023 01:53,Forbes College ,Open Investigation
Criminal Mischief,23-269-OF,2/3/23,8:10,2/7/23 17:15,7/2/2023 17:15,2/8/23 9:00,Theater Garage,Open Investigation
Fraud,23-272-OF,02/13/2023,14:16,2/12/23 22:00,12/2/2023 22:00,02/13/2023 13:56,Fisher Hall,Open Investigation
Theft,23-285-OF,02/15/2023,7:39,02/14/2023 19:00,02/14/2023 19:00,02/15/2023 07:30,Hariri Hall,Open Investigation
Trespassing,23-4-AR,02/15/2023,15:54,02/15/2023 15:54,02/15/2023 15:54,02/15/2023 15:54,Jadwin Hall,Arrest
Theft,23-300-OF,02/16/2023,18:20,02/16/2023 13:30,02/16/2023 13:30,02/16/2023 18:00,Class of 1981 Hall ,Open Investigation
Theft,23-301-OF,02/16/2023,22:29,2/9/23 14:00,9/2/2023 14:00,2/9/23 15:00,McCosh Hall, Open Investigation
Theft,23-308-OF,02/17/2023,13:34,02/16/2023 21:45,02/16/2023 21:45,02/17/2023 0945,New Residence College,Open Investigation
Rape,23-314-OF,02/17/2023,21:32,2/11/23 0:00,11/2/2023 0:00,2/11/23 23:59,Main Campus Dormitory,Closed
Rape,23-315-OF,02/17/2023,21:59,10/31/2022 00:00,10/31/2022 00:00,10/31/2022 23:59,Main Campus Dormitory,Closed
Assault,23-319-OF,12/20/2023,13:54,12/20/2023 13:54,12/20/2023 13:54,12/20/2023 13:54,University Store,Open Investigation
Criminal Mischief,23-330-OF,02/19/2023,13:57,02/19/2023 02:48,02/19/2023 02:48,02/19/2023 13:57,Cuyler Hall,Open Investigation
Theft,23-339-OF,02/19/2023,23:21,02/19/2023 22:00,02/19/2023 22:00,02/19/2023 23:56,Grousbeck Hall,Open Investigation
Criminal Mischief,23-340-OF,02/20/2023,8:38,02/18/2023 12:00,02/18/2023 12:00,02/20/2023 08:30,Walker Hall,Open Investigation
Trespassing,23-343-OF,02/20/2023,12:16,02/20/2023 12:15,02/20/2023 12:15,02/20/2023 12:18,Holder Hall,Open Investigation
Assault,23-21-AR (23-345-OF),02/20/2023,17:51,02/18/2023 23:3,02/18/2023 23:3,0 02/19/2023 00:30,Yeh College,Arrest
Theft,23-347-OF,02/21/2023,9:34,02/20/2023 10:00,02/20/2023 10:00,02/20/2023 17:00,48 University Place,Closed
Hindering Possession of Burglary Tools,23-7-AR,02/21/2023,13:00,02/21/2023 13:00,02/21/2023 13:00,02/21/2023 13:00,Parking Lot 19,Arrest
Possession of Burglary Tools 2,23-8-AR,02/21/2023,13:00,02/21/2023 13:00,02/21/2023 13:00,02/21/2023 13:00,Parking Lot 19,Arrest
Domestic Violence: Harassment,23-354-OF,02/21/2023,15:12,12/9/22 0:01,9/12/2022 0:01,02/21/2023 15:00,Forbes College,Open Investigation
Theft,23-352-OF 0,02/21/2023,16:40,02/15/2023 16:00,02/15/2023 16:00,02/15/2023 17:00,McCosh Infirmary,Open Investigation
Theft,23-368-OF,02/23/2023,11:43,02/14/2023 15:14,02/14/2023 15:14,02/14/2023 15:14,Green Hall,Open Investigation
Harassment,23-375-OF,02/23/2023,19:58,02/23/2023 19:58,02/23/2023 19:58,02/23/2023 19:58,Lakeside Apartments,Open Investigation
Trespassing,23-10-AR,02/23/2023,11:00,02/23/2023 11:00,02/23/2023 11:00,02/23/2023 11:00,Frist Campus Center,Arrest
Harassment,23-389-OF,02/25/2023,11:46,02/24/2023 12:00,02/24/2023 12:00,02/24/2023 12:00,University Place,Open Investigation
Criminal Mischief,23-398-OF,02/26/2023,3:00,02/26/2023 03:00,02/26/2023 03:00,02/26/2023 03:00,Henry Hall,Open Investigation
Criminal Mischief,23-400-OF,02/26/2023,15:43,02/26/2023 01:00,02/26/2023 01:00,02/26/2023 13:00,Little Hall,Open Investigation
Criminal Mischief,23-411-OF,02/27/2023,6:29,02/26/2023 00:30,02/26/2023 00:30,02/27/2023 06:30,Prospect House,Open Investigation
Theft,23-414-OF,02/27/2023,12:40,02/27/2023 10:00,02/27/2023 10:00,02/27/2023 10:50,McCosh Hall,Open Investigation
Attempted Fraud,23-419-OF,02/27/2023,18:30,02/27/2023 17:18,02/27/2023 17:18,02/27/2023 17:18,McDonnell Hall,Open Investigation
Criminal Mischief,23-426-OF,02/28/2023,11:48,1/9/23 0:00,9/1/2023 0:00,02/27/2023 10:26,Firestone Library,Open Investigation
Theft,23-435-OF,3/1/23,19:56,3/1/23 18:45,1/3/2023 18:45,3/1/23 19:15,Lewis Library,Open Investigation
Criminal Mischief,23-440-OF,3/2/23,6:11,02/28/2023 12:00,02/28/2023 12:00,3/2/23 6:11,Old Graduate College,Open Investigation
Harassment: Bias Incident,23-14-AR (23-449-OF),3/3/23,11:10,9/1/21 8:00,1/9/2021 8:00,3/3/23 11:10,300 Washington Road,Arrest
Shoplifting,23-13-AR (23-451-OF),3/3/23,13:29,02/20/2023 08:57,02/20/2023 08:57,02/20/2023 09:02,University Store,Arrest
Burglary,23-17-AR (23-466-OF),3/5/23,0:57,3/5/23 0:57,5/3/2023 0:57,3/5/23 0:57,Guyot Hall,Arrest
Assault,23-471-OF,3/5/23,15:25,3/5/23 15:25,5/3/2023 15:25,3/5/23 15:25,Washington Road at Faculty Road,Open Investigation
Theft,23-479-OF,3/6/23,15:27,3/4/23 23:00,4/3/2023 23:00,3/6/23 13:00,Scully Hall,Open Investigation
Trespass,23-483-OF,3/7/23,10:33,3/7/23 10:33,7/3/2023 10:33,3/7/23 10:33,Frist Campus Center,Closed
Trespass,23-12-AR,3/7/23,15:43,3/7/23 15:43,7/3/2023 15:43,3/7/23 15:43,Jadwin Hall ,Arrest
Trespass,23-488-OF,3/8/23,3:35,3/8/23 3:35,8/3/2023 3:35,3/8/23 3:35,Lewis Center for the Arts, Closed
Theft,23-491-OF,3/8/23,14:16,3/8/23 13:20,8/3/2023 13:20,3/8/23 13:30,Forbes College ,Open Investigation
Theft,23-493-OF,3/8/23,17:05,11/15/2022 15:00,11/15/2022 15:00,3/8/23 17:29,Firestone Library,Open Investigation
Shoplifting,23-13-AR (23-492-OF),3/8/23,15:25,3/8/23 8:30,8/3/2023 8:30,3/8/23 8:46,University Store,Arrest
Extortion,23-499-OF,3/9/23,17:04,3/6/23 18:00,6/3/2023 18:00,3/9/23 17:00,Aliya Kanji Hall,Open Investigation
Trespassing,23-13-AR (23-495-OF),3/9/23,9:40,3/9/23 9:10,9/3/2023 9:10,3/9/23 9:25,Engineering Quad D-Wing,Arrest
Trespassing,23-13-AR (23-497-OF),3/9/23,12:43,3/9/23 12:43,9/3/2023 12:43,3/9/23 12:43,Jones Hall,Arrest
Theft,23-507-OF,3/10/23,16:09,01/13/2023 17:30,01/13/2023 17:30,3/10/23 15:30,New South,Open Investigation
Harassment: Stalking,23-506-OF,3/10/23,15:03,11/11/21 18:00,11/11/2021 18:00,12/6/22 16:00,Taplin Auditorium,Open Investigation
Theft,23-518-OF,03/13/2023,16:51,3/8/23 19:30,8/3/2023 19:30,3/9/23 17:00,Firestone Library,Open Investigation
Criminal Mischief,23-520-OF,03/13/2023,17:46,03/13/2023 08:25,03/13/2023 08:25,03/13/2023 17:10,Stadium Drive Parking Garage,Open Investigation
