Buildings,Location
TEMBUSU COLLEGE- MPH,UTown
TEMBUSU LEARN LOBE,UTown
UTOWN RESIDENCE-NORTH TOWER,UTown
UTOWN RESIDENCE SOUTH-TOWER,UTown
CREATE (RESEARCH),UTown
CREATE (INNOVATION),UTown
CREATE (ENTERPRISE),UTown
DISTRICT COOLING PLANT,UTown
CREATE (UTOWN PLAZA),UTown
EDUCATION RESOURCE CENTRE,UTown
ELECTRICAL SUB-STATION,UTown
STEPHEN RIADY CENTRE,UTown
YALE RESIDENTIAL COLLEGE 1,UTown
YALE RESIDENTIAL COLLEGE 2,UTown
YALE DINNING SERVICES,UTown
YALE ADMINISTRATION BLOCK,UTown
YALE WEST CORE,UTown
YALE EAST CORE,UTown
YALE SPORTS HALL,UTown
YALE FITNESS CENTER,UTown
YALE SCIENCE BLOCK,UTown
YALE RESIDENTIAL COLLEGE 3,UTown
VENTUS (UNI CAMPUS INFRA),HALL
YUSOF ISHAK HOUSE,YIH
YST CONSERVATORY OF MUSIC,UCC
